0,0,-3,-1,1,-2,-2,-4,4,-21,-7,-2,4,6,2,-5,-5,-4,-8,-7,-1,5,0,-3,4,-7,-6,1,-8,-2,0,-1,6,6,-4,-1,-6,-1,-6,-2,-1,1,-3,-7,3
0,-1,-3,2,-1,-4,-5,-3,13,-37,-3,-12,2,12,3,-16,-6,-8,-15,-12,-1,3,9,-5,-6,-16,-15,4,-22,13,-5,1,5,30,3,-5,-15,5,-6,6,8,-2,-10,-11,3
3,-2,-3,-1,-2,-3,-4,-5,1,-3,-10,-13,-8,-10,-1,-15,-4,9,0,-8,-10,12,-6,-13,1,-10,-9,1,-16,14,0,0,3,13,3,-7,-3,7,-9,7,-5,6,-4,-3,-1
3,-1,-1,-1,-2,-1,-1,-2,-1,-4,-7,0,4,-8,-4,-2,3,-11,-2,4,5,0,-6,-13,6,4,-2,-3,-1,4,-2,-2,-9,0,1,-4,-2,4,-7,3,-2,5,2,6,-2
0,-3,0,1,-3,-1,-3,0,-4,-6,-1,12,4,1,-5,-21,-24,-27,13,19,-12,3,-10,1,64,-18,-11,-16,2,-5,-5,-8,-24,22,-1,-6,8,-8,-3,-3,-27,-28,20,-5,-1
-1,0,-2,-1,-1,-1,-1,-3,-7,-6,0,-1,2,1,2,-8,-23,-8,3,4,8,-6,-7,-1,18,-8,3,-4,2,5,-2,1,1,-1,-3,11,-3,-8,-7,-2,-11,-19,6,-7,-2
-2,-2,-1,-1,-1,-2,-2,-2,-5,-4,-3,-2,-6,-12,6,3,-14,-8,-1,5,5,2,-7,4,1,-2,1,-2,8,-4,1,1,3,-5,-4,4,-2,0,-7,-1,-3,-10,7,-7,-2
-2,0,-2,-2,1,1,-2,-1,-2,-4,-1,-1,-25,-44,-1,2,-30,-14,-3,1,2,-2,-19,0,-16,-4,14,-10,41,8,-8,1,10,-8,-11,-2,-1,4,-9,3,-4,-7,17,-14,-1
-1,-2,-3,-2,1,1,-1,-2,-2,-2,-2,-3,1,-22,6,5,-14,1,-1,9,0,-7,-7,1,-10,-2,7,1,22,2,-9,-3,4,-4,-3,-4,-8,2,-5,-5,2,-5,-5,-8,-4
-1,-1,-1,-2,0,1,-1,0,-1,-2,-1,0,3,-6,1,0,-10,-1,0,-1,-1,-4,-1,-2,-3,2,4,-5,7,-3,-3,2,2,-3,-4,-3,-2,-3,1,-3,2,-3,-3,-6,-3
-1,-1,-2,-3,-1,-2,0,-2,0,2,-3,1,6,0,2,-5,-7,-4,-3,-1,-1,-10,-2,1,1,2,4,-2,2,-3,-3,3,1,1,-1,-3,1,-1,-1,-4,-6,1,1,-4,-4
0,-1,-1,-2,0,0,1,1,-2,-2,-2,0,1,0,-1,-6,-6,-7,-1,4,-3,-3,-10,-4,11,3,0,-12,6,-1,1,1,-5,0,-3,-6,-2,0,0,-1,-8,-7,5,-3,-1
-0.125,0.375,1.4375,-1.1875,0.375,0.1875,0.875,2,6.25,15.625,-54.688,-20.063,-18.5,-60.938,-61.688,-56.375,-27.688,-30.688,-6.625,-5.3125,0.5,-0.4375,-10.75,1.8125,-5.9375,-4.75,2.8125,1.5625,4.1875,8.75,4.375,5.4375,2.3125,4.75,-2.0625,-8.875,-0.4375,1.3125,1.4375,-0.75,-0.3125,1,5.9375,0.9375,-0.0625
-0.125,0.375,1.4375,-1.1875,0.375,0.1875,0.875,2,6.25,15.625,-54.688,-20.063,-18.5,-60.938,-61.688,-56.375,-27.688,-30.688,-6.625,-5.3125,0.5,-0.4375,-10.75,1.8125,-5.9375,-4.75,2.8125,1.5625,4.1875,8.75,4.375,5.4375,2.3125,4.75,-2.0625,-8.875,-0.4375,1.3125,1.4375,-0.75,-0.3125,1,5.9375,0.9375,-0.0625
