-0.0625,-0.875,-0.875,0.625,-1.125,0.375,-0.625,-5.5625,43.5,21.938,32.375,-16.625,-33.188,-17.813,-25.875,9.5,21.438,12.688,11.75,8.6875,-12.188,8.375,37,56.375,31.813,1.4375,0.3125,4.5,0,-1.875,-2.9375,3.25,1.875,1,2.4375,-1.125,-2.3125,-2.3125,-2.625,-6.8125,-30.375,-38.313,-32.938,1.875,-6.75
-0.0625,-0.875,-0.875,0.625,-1.125,0.375,-0.625,-5.5625,43.5,21.938,32.375,-16.625,-33.188,-17.813,-25.875,9.5,21.438,12.688,11.75,8.6875,-12.188,8.375,37,56.375,31.813,1.4375,0.3125,4.5,0,-1.875,-2.9375,3.25,1.875,1,2.4375,-1.125,-2.3125,-2.3125,-2.625,-6.8125,-30.375,-38.313,-32.938,1.875,-6.75
-0.0625,-0.875,-0.875,0.625,-1.125,0.375,-0.625,-5.5625,43.5,21.938,32.375,-16.625,-33.188,-17.813,-25.875,9.5,21.438,12.688,11.75,8.6875,-12.188,8.375,37,56.375,31.813,1.4375,0.3125,4.5,0,-1.875,-2.9375,3.25,1.875,1,2.4375,-1.125,-2.3125,-2.3125,-2.625,-6.8125,-30.375,-38.313,-32.938,1.875,-6.75
2.236,2.2441,2.2485,2.2488,2.2494,2.2519,2.2488,2.2441,2.2445,2.2449,2.2387,2.2315,2.2313,2.2441,2.2657,2.292,2.2938,2.278,2.2857,2.3078,2.3279,2.3321,2.3265,2.3155,2.296,2.2911,2.2951,2.3099,2.3148,2.3156,2.3139,2.3115,2.3076,2.3058,2.3083,2.3081,2.3085,2.3063,2.3037,2.2979,2.2956,2.2926,2.3102,2.3189,2.313
3.1903,3.1894,3.1889,3.189,3.1883,3.188,3.1859,3.1839,3.1837,3.183,3.1825,3.1806,3.1796,3.1803,3.1834,3.1869,3.1868,3.183,3.1821,3.184,3.1872,3.1896,3.1883,3.1865,3.1815,3.181,3.1836,3.1908,3.1955,3.1956,3.1958,3.1955,3.1959,3.1955,3.1952,3.1939,3.1928,3.1922,3.1921,3.1915,3.1909,3.1898,3.1905,3.1865,3.1746
4.0858,4.0818,4.0793,4.0789,4.0759,4.0765,4.0816,4.0882,4.0919,4.0998,4.1065,4.1097,4.1051,4.0965,4.0781,4.0638,4.0576,4.0653,4.0674,4.0563,4.0421,4.0419,4.0511,4.065,4.0799,4.0857,4.0779,4.0654,4.0551,4.0544,4.0569,4.0603,4.0651,4.0692,4.0684,4.0695,4.0704,4.0719,4.0759,4.0806,4.0834,4.0884,4.0914,4.0929,4.0986
8.1307,8.117,8.1088,8.1014,8.0996,8.0975,8.0934,8.0201,7.9079,7.715,7.5601,7.3841,7.2744,7.2046,7.1534,7.1689,7.2571,7.3232,7.38,7.4207,7.4332,7.4335,7.4799,7.5534,7.601,7.6178,7.6282,7.6269,7.6188,7.6125,7.6114,7.6126,7.6133,7.6142,7.6152,7.6132,7.6105,7.609,7.6,7.591,7.5445,7.4536,7.3658,7.3208,7.359
3.3371,3.3392,3.3414,3.3422,3.3434,3.3433,3.3441,3.3607,3.4214,3.5697,3.8037,4.1878,4.5084,4.8591,5.0962,5.3478,5.6347,5.724,5.7554,5.7742,5.8076,5.8292,5.8154,5.8092,5.8425,5.8075,5.7704,5.7638,5.7679,5.7664,5.7662,5.7676,5.7681,5.77,5.7718,5.7768,5.7785,5.7788,5.7801,5.778,5.7472,5.6246,5.3979,5.0514,4.5101
9.2368,9.2489,9.2596,9.2674,9.2688,9.2699,9.2752,9.3501,9.543,9.8247,0.11184,0.37871,0.53778,0.68998,0.81169,0.94099,1.0812,1.2065,1.3098,1.3632,1.3941,1.3925,1.4315,1.4111,1.3408,1.3039,1.2782,1.2587,1.2413,1.2348,1.2376,1.2409,1.2388,1.2345,1.2322,1.2351,1.2365,1.2352,1.2313,1.2224,1.1912,1.1218,1.0257,0.88355,0.64747
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.91846,0.91602,0.91895,0.91553,0.91455,0.91846,0.9165,0.91846,0.91846,0.91992,0.91895,0.88623,0.90723,0.91602,0.92334,0.91162,0.90674,0.91846,0.91797,0.90625,0.90625,0.92822,0.90576,0.9248,0.91748,0.91162,0.91504,0.91113,0.91113,0.91211,0.91064,0.90918,0.91406,0.91602,0.9126,0.91504,0.91406,0.91113,0.90625,0.92041,0.91162,0.90967,0.92383,0.92383,0.93164
-0.36133,-0.36328,-0.36426,-0.36621,-0.36621,-0.36621,-0.36377,-0.36426,-0.36182,-0.36768,-0.37109,-0.35498,-0.35889,-0.36279,-0.3584,-0.35791,-0.36377,-0.36963,-0.35791,-0.36865,-0.36914,-0.38916,-0.39014,-0.38525,-0.36768,-0.37451,-0.36572,-0.36475,-0.36963,-0.36377,-0.37061,-0.36475,-0.37842,-0.36768,-0.37354,-0.37207,-0.36963,-0.36621,-0.35986,-0.34814,-0.36475,-0.36279,-0.36865,-0.36523,-0.35205
0.003418,0.0019531,0.0048828,0.00097656,0.00097656,0.00097656,-0.0014648,-0.0039063,0.0029297,-0.011719,-0.012207,0.00097656,0.0097656,0.01416,0.0083008,-0.0068359,0.0019531,0,-0.0043945,0.0083008,0.015625,0.022949,0.024414,0.020508,0.02002,0.021973,0.011719,0.0043945,0.0053711,0.0048828,0.010254,0.0068359,0.013672,0.015137,0.0078125,0.003418,0.00097656,0.0014648,-0.0078125,0.0014648,0.0078125,0.0063477,-0.0048828,-0.0019531,-0.0092773
0.89258,0.89404,0.89551,0.89063,0.89063,0.89941,0.89941,0.95557,1.001,1.0967,0.87207,0.43896,0.2085,-0.091797,-0.24512,-0.26025,-0.27734,-0.36865,-0.36084,-0.50488,-0.2998,-0.50439,-0.46777,-0.48535,-0.53125,-0.48926,-0.46631,-0.46777,-0.46533,-0.47607,-0.48975,-0.47803,-0.47754,-0.47559,-0.47266,-0.44727,-0.38086,-0.23828,-0.20703,-0.20508,-0.19727,0.72461,0.52637,0.88086,0.99561
0.4043,0.4126,0.40625,0.41357,0.40039,0.40283,0.39551,0.40674,0.4375,0.82422,0.93359,1.0493,0.9165,0.76025,0.83496,0.78027,0.76172,0.7915,0.75146,0.54346,1.2583,0.79297,0.91553,0.84619,0.8623,0.88428,0.85742,0.8833,0.87793,0.87939,0.86621,0.88086,0.86914,0.88281,0.88672,0.86914,0.88232,0.81152,0.71973,0.77246,0.74316,1.2256,0.81152,0.88965,0.69385
